location_day_id,event_date,location,district,governorate,deaths_total,injuries_total,incident_rows_combined,has_unquantified_report,component_incident_ids
LD-2026-03-07-النبي شيت (Nabi Chit/Nabi Sheet),2026-03-07,النبي شيت (Nabi Chit/Nabi Sheet),Baalbek,Baalbek-Hermel,16,35,1,0,INC-0033
LD-2026-03-07-جبال البطم (Jabal al-Botm),2026-03-07,جبال البطم (Jabal al-Botm),Tyre,South Lebanon,3,4,1,0,INC-0034
LD-2026-03-07-جبشيت (Jbeshit),2026-03-07,جبشيت (Jbeshit),Nabatieh,Nabatieh,9,0,2,0,INC-0035;INC-0036
LD-2026-03-07-خربة سلم (Khirbet Selm),2026-03-07,خربة سلم (Khirbet Selm),Bint Jbeil,Nabatieh,6,5,1,0,INC-0037
LD-2026-03-07-زبدين (Zebdine),2026-03-07,زبدين (Zebdine),Nabatieh,Nabatieh,"unknown (unspecified, >=1 per NNA)",0,1,1,INC-0038
LD-2026-03-07-زوطر الشرقية (Zawtar al-Sharqiya),2026-03-07,زوطر الشرقية (Zawtar al-Sharqiya),Nabatieh,Nabatieh,5,0,1,0,INC-0039
LD-2026-03-07-شمسطار (Shamsatar),2026-03-07,شمسطار (Shamsatar),Baalbek,Baalbek-Hermel,6,0,1,0,INC-0040
LD-2026-03-07-صريفا (Srifa),2026-03-07,صريفا (Srifa),Tyre,South Lebanon,2,0,1,0,INC-0041
LD-2026-03-07-كفرتبنيت (Kfartebnit),2026-03-07,كفرتبنيت (Kfartebnit),Nabatieh,Nabatieh,"unknown (unspecified, >=1 per NNA)",0,1,1,INC-0042
LD-2026-03-07-كفررمان (Kfarremen),2026-03-07,كفررمان (Kfarremen),Nabatieh,Nabatieh,2,0,1,0,INC-0043
LD-2026-03-07-كوثرية الرز (Kawthariyet al-Rez),2026-03-07,كوثرية الرز (Kawthariyet al-Rez),Sidon,South Lebanon,5,0,2,0,INC-0044;INC-0045
LD-2026-03-07-ميفدون (Meifadoun),2026-03-07,ميفدون (Meifadoun),Nabatieh,Nabatieh,5,0,1,0,INC-0046
LD-2026-03-08-الدوير (Al-Dawir),2026-03-08,الدوير (Al-Dawir),Nabatieh,Nabatieh,6,0,1,0,INC-0047
LD-2026-03-08-الروشة (Raouche),2026-03-08,الروشة (Raouche),Beirut,Beirut,4,10,1,0,INC-0048
LD-2026-03-08-الشعيتية (Al-Shaitiyeh),2026-03-08,الشعيتية (Al-Shaitiyeh),Tyre,South Lebanon,"unknown (unspecified, >=1 per NNA)",0,1,1,INC-0049
LD-2026-03-08-الغازية (Ghazieh),2026-03-08,الغازية (Ghazieh),Sidon,South Lebanon,2,10,1,0,INC-0050
LD-2026-03-08-بريتال (Britel),2026-03-08,بريتال (Britel),Baalbek,Baalbek-Hermel,1,1,1,0,INC-0051
LD-2026-03-08-تبنين (Tibnine),2026-03-08,تبنين (Tibnine),Bint Jbeil,Nabatieh,2,6,1,0,INC-0052
LD-2026-03-08-تفاحتا (Tfahta),2026-03-08,تفاحتا (Tfahta),Sidon,South Lebanon,8,0,1,0,INC-0053
LD-2026-03-08-صور (Tyre),2026-03-08,صور (Tyre),Tyre,South Lebanon,8,0,1,0,INC-0054
LD-2026-03-08-صير الغربية (Sir al-Gharbiyeh),2026-03-08,صير الغربية (Sir al-Gharbiyeh),Nabatieh,Nabatieh,10,6,1,0,INC-0055
LD-2026-03-08-علما الشعب (Alma al-Shaab),2026-03-08,علما الشعب (Alma al-Shaab),Marjayoun,Nabatieh,1,0,1,0,INC-0056
LD-2026-03-08-عيتيت (Aitit),2026-03-08,عيتيت (Aitit),Nabatieh,Nabatieh,3,0,1,0,INC-0057
LD-2026-03-08-عين الحلوة (Ain al-Hilweh camp),2026-03-08,عين الحلوة (Ain al-Hilweh camp),Sidon,South Lebanon,1,10,1,0,INC-0058
LD-2026-03-08-قانا (Qana),2026-03-08,قانا (Qana),Tyre,South Lebanon,4,0,1,0,INC-0059
LD-2026-03-08-يحمر الشقيف (Yohmor al-Shaqif),2026-03-08,يحمر الشقيف (Yohmor al-Shaqif),Nabatieh,Nabatieh,2,8,1,0,INC-0060
LD-2026-03-09-Beit Yahoun-Tibnine road,2026-03-09,Beit Yahoun-Tibnine road,Bint Jbeil,Nabatieh,1,1,1,0,INC-0061
LD-2026-03-09-Bint Jbeil-Aytaroun road,2026-03-09,Bint Jbeil-Aytaroun road,Bint Jbeil,Nabatieh,2,0,1,0,INC-0062
LD-2026-03-09-الضاحية الجنوبية (Beirut southern suburb/Dahiye),2026-03-09,الضاحية الجنوبية (Beirut southern suburb/Dahiye),Baabda,Mount Lebanon,1,12,1,0,INC-0063
LD-2026-03-09-الطيري (Al-Tiri),2026-03-09,الطيري (Al-Tiri),Bint Jbeil,Nabatieh,"unknown (unspecified, >=1 per NNA)",0,1,1,INC-0064
LD-2026-03-09-القليعة (Qlaya),2026-03-09,القليعة (Qlaya),Marjayoun,Nabatieh,1,6,1,0,INC-0065
LD-2026-03-09-النميرية (Al-Nmeiriyeh),2026-03-09,النميرية (Al-Nmeiriyeh),Nabatieh,Nabatieh,15,2,2,0,INC-0066;INC-0067
LD-2026-03-09-بيت ليف (Beit Lif),2026-03-09,بيت ليف (Beit Lif),Bint Jbeil,Nabatieh,2,8,1,0,INC-0068
LD-2026-03-09-تبنين (Tibnine),2026-03-09,تبنين (Tibnine),Bint Jbeil,Nabatieh,2,4,1,0,INC-0069
LD-2026-03-09-جويا (Joya),2026-03-09,جويا (Joya),Tyre,South Lebanon,7,23,1,0,INC-0070
LD-2026-03-09-شبعا (Shebaa),2026-03-09,شبعا (Shebaa),Hasbaya,Nabatieh,1,0,1,0,INC-0071
LD-2026-03-09-شوكين (Shawkin),2026-03-09,شوكين (Shawkin),Nabatieh,Nabatieh,1,8,1,0,INC-0072
LD-2026-03-09-طير دبا (Tair Debba),2026-03-09,طير دبا (Tair Debba),Tyre,South Lebanon,9,17,1,0,INC-0073
LD-2026-03-09-كفرتبنيت (Kfartebnit),2026-03-09,كفرتبنيت (Kfartebnit),Nabatieh,Nabatieh,3,0,1,0,INC-0074
LD-2026-03-10-الأوزاعي (Ouzai),2026-03-10,الأوزاعي (Ouzai),Baabda,Mount Lebanon,1,0,1,0,INC-0075
